Name,Site_Code,Lat,Lon
Cayo Aurora 5m,AURO05,17.9369,-66.8738
Cayo Aurora 5m,AURO05-R,17.9369,-66.8738
Puerto Botes 15m,BOTE15,18.382,-67.4883
Puerto Botes 20m,BOTE20,18.3816,-67.4886
Boya Vieja 20m,BOYA20,17.8883,-66.9978
Cabezas de San Juan 5m,CABE05,18.3854,-65.6297
Canjilones 15m,CANJ15,18.0896,-65.5901
Canjilones 15m,CANJ15-R,18.0896,-65.5901
Puerto Canoas 30m,CANO30,18.3775,-67.484
Puerto Canoas 30m,CANO30-R,18.3775,-67.484
Cayo Caribes 10m,CARI10,17.9153,-66.2141
West Reef 10m,CDMU10,17.895,-66.5284
Cibuco 10m,CIBU10,18.4896,-66.3736
Cibuco 10m,CIBU10-R,18.4896,-66.3736
Cayo Coral 10m,CORA10,17.9362,-66.8884
Carlos Rosario 10m,CROS10,18.3278,-65.332
Dakiti 20m,DAKI20,18.2759,-65.2773
Dakiti 20m,DAKI20-R,18.2759,-65.2773
Derrumbadero 20m,DERR20,17.904,-66.6086
Derrumbadero 20m,DERR20-R,17.904,-66.6086
Cayo Diablo 5m,DIAB05,18.3603,-65.5309
Cayo Diablo 5m,DIAB05-R,18.3603,-65.5309
Dominos 5m,DOMI05,18.4622,-66.0517
Dominos 5m,DOMI05-R,18.4622,-66.0517
Esperanza 10m,ESPE10,18.0806,-65.4879
Esperanza 10m,ESPE10-R,18.0806,-65.4879
Efras Wall 20m,EWAL20,17.8976,-66.9599
Gallardo 5m,GALL05,18.0017,-67.3299
Gallardo 5m,GALL05-R,18.0017,-67.3299
Guanajibo 20m,GUAN20,18.172,-67.253
Guanajibo 20m,GUAN20-R,18.172,-67.253
Canal Luis Pena 5m,LPEN05,18.3049,-65.3277
Manchas Exteriores 10m,MEXT10,18.2335,-67.2006
Manchas Exteriores 20m,MEXT20,18.2335,-67.2009
Maria Langa 5m,MLAN05,17.9649,-66.7565
Maria Langa 5m,MLAN05-R,17.9649,-66.7565
Maria Langa 10m,MLAN10,17.9609,-66.7529
Maria Langa 10m,MLAN10-R,17.9609,-66.7529
Maria Langa 20m,MLAN20,17.9595,-66.747
Media Luna 5m,MLUN05,17.9394,-67.0507
Media Luna 5m,MLUN05-R,17.9394,-67.0507
Media Luna 10m,MLUN10,17.9347,-67.0485
El Negro 5m,NEGR05,18.1466,-67.2476
El Negro 5m,NEGR05-R,18.1466,-67.2476
El Negro 10m,NEGR10,18.1465,-67.248
Palominos 20m,PALN20,18.3547,-65.5671
Palominitos 10m,PALT10,18.3354,-65.5656
Cayo Ratones 5m,RATO05,17.9346,-66.3025
Cayo Ratones 5m,RATO05-R,17.9346,-66.3025
Resuellos 10m,RESU10,17.9912,-67.2332
Resuellos 10m,RESU10-R,17.9912,-67.2332
Cayo Rodriguez 5m,RODR05,18.1893,-67.1919
Cayo Rodriguez 5m,RODR05-R,18.1893,-67.1919
El Seco 30m,SECO30,18.1387,-65.1971
Tourmaline 10m,TOUR10,18.163,-67.2737
Tourmaline 20m,TOUR20,18.1652,-67.2752
Tourmaline 30m,TOUR30,18.1664,-67.2763
Tres Palmas 5m,TRES05,18.3507,-67.2669
Tres Palmas 10m,TRES10,18.3465,-67.2712
Tres Palmas 20m,TRES20,18.3473,-67.27
