Name,Lon,Lat
Boya Vieja,-66.99106,17.89745
Cabezas de San Juan,-65.64873,18.39831
Canal Luis Pena,-65.32022,18.29709
Canjilones,-65.5998,18.1057
Carlos Rosario,-65.33955,18.32599
Cayo Aurora,-66.87634,17.92736
Cayo Caribes,-66.2139,17.90012
Cayo Coral,-66.88246,17.91227
Cayo Diablo,-65.53164,18.3541
Cayo Ratones,-66.30934,17.9064
Cayo Rodriguez,-67.222741,18.195391
Cibuco,-66.37965,18.49902
Dakiti,-65.27404,18.27115
Derrumbadero,-66.61004,17.92405
Dominos,-66.04934,18.47001
Efras Wall,-66.99182,17.89808
El Negro,-67.25233,18.173
El Seco,-65.20146,18.14134
Esperanza,-65.48557,18.07689
Gallardo,-67.33398,18.00719
Guanajibo,-67.25308,18.17361
Manchas Exteriores,-67.23728,18.21895
Maria Langa,-66.74909,17.95478
Media Luna,-67.05153,17.92809
Palominitos,-65.55748,18.32791
Palominos,-65.558,18.36099
Puerto Botes,-67.48949,18.37463
Puerto Canoas,-67.48505,18.37102
Resuellos,-67.23864,17.98926
Tourmaline,-67.2773,18.16973
Tres Palmas,-67.27695,18.34535
West Reef,-66.53649,17.90275
